Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,AED/MYR
2024-12-31,1.21595
2024-12-30,1.21549
2024-12-29,1.21687
2024-12-28,1.21687
2024-12-27,1.21707
2024-12-26,1.21602
2024-12-25,1.22066
2024-12-24,1.22102
2024-12-23,1.22173
2024-12-22,1.22657
2024-12-21,1.22657
2024-12-20,1.22665
2024-12-19,1.22550
2024-12-18,1.21590
2024-12-17,1.21356
2024-12-16,1.21167
2024-12-15,1.21083
2024-12-14,1.21083
2024-12-13,1.21091
2024-12-12,1.20685
2024-12-11,1.20543
2024-12-10,1.20446
2024-12-09,1.20376
2024-12-08,1.20233
2024-12-07,1.20233
2024-12-06,1.20268
2024-12-05,1.20484
2024-12-04,1.21238
2024-12-03,1.21598
2024-12-02,1.21334
2024-12-01,1.20940
2024-11-30,1.20940
2024-11-29,1.20869
2024-11-28,1.20925
2024-11-27,1.20958
2024-11-26,1.21370
2024-11-25,1.21229
2024-11-24,1.21566
2024-11-23,1.21566
2024-11-22,1.21548
2024-11-21,1.21514
2024-11-20,1.21612
2024-11-19,1.21657
2024-11-18,1.21751
2024-11-17,1.21634
2024-11-16,1.21634
2024-11-15,1.21724
2024-11-14,1.21916
2024-11-13,1.21014
2024-11-12,1.20505
2024-11-11,1.19900
2024-11-10,1.19240
2024-11-09,1.19240
2024-11-08,1.19292
2024-11-07,1.19884
2024-11-06,1.19632
2024-11-05,1.18491
2024-11-04,1.18960
2024-11-03,1.19145
2024-11-02,1.19145
2024-11-01,1.19132
2024-10-31,1.19132
2024-10-30,1.19209
2024-10-29,1.18924
2024-10-28,1.18572
2024-10-27,1.18059
2024-10-26,1.18059
2024-10-25,1.18126
2024-10-24,1.18347
2024-10-23,1.18203
2024-10-22,1.17636
2024-10-21,1.17063
2024-10-20,1.17125
2024-10-19,1.17127
2024-10-18,1.17129
2024-10-17,1.17204
2024-10-16,1.16883
2024-10-15,1.17151
2024-10-14,1.16825
2024-10-13,1.16667
2024-10-12,1.16668
2024-10-11,1.16632
2024-10-10,1.16800
2024-10-09,1.16548
2024-10-08,1.16619
2024-10-07,1.16402
2024-10-06,1.14857
2024-10-05,1.14856
2024-10-04,1.14912
2024-10-03,1.14752
2024-10-02,1.13443
2024-10-01,1.13297
2024-09-30,1.12040
2024-09-29,1.12230
2024-09-28,1.12230
2024-09-27,1.12233
2024-09-26,1.12677
2024-09-25,1.12360
2024-09-24,1.13391
2024-09-23,1.14421
2024-09-22,1.14350
2024-09-21,1.14349
2024-09-20,1.14225
2024-09-19,1.14979
2024-09-18,1.15537
2024-09-17,1.16138
2024-09-16,1.17025
