Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,BND/MYR
2024-12-31,3.27787
2024-12-30,3.28692
2024-12-29,3.28878
2024-12-28,3.28869
2024-12-27,3.28951
2024-12-26,3.28714
2024-12-25,3.29557
2024-12-24,3.29896
2024-12-23,3.30887
2024-12-22,3.32119
2024-12-21,3.32113
2024-12-20,3.31827
2024-12-19,3.30802
2024-12-18,3.30013
2024-12-17,3.30177
2024-12-16,3.29832
2024-12-15,3.29551
2024-12-14,3.29541
2024-12-13,3.29836
2024-12-12,3.29667
2024-12-11,3.29642
2024-12-10,3.29922
2024-12-09,3.29850
2024-12-08,3.28816
2024-12-07,3.28795
2024-12-06,3.29575
2024-12-05,3.30080
2024-12-04,3.31080
2024-12-03,3.31957
2024-12-02,3.31278
2024-12-01,3.31307
2024-11-30,3.31310
2024-11-29,3.31322
2024-11-28,3.30776
2024-11-27,3.30765
2024-11-26,3.30794
2024-11-25,3.30973
2024-11-24,3.31756
2024-11-23,3.31704
2024-11-22,3.31431
2024-11-21,3.32102
2024-11-20,3.32976
2024-11-19,3.33779
2024-11-18,3.33255
2024-11-17,3.32489
2024-11-16,3.32475
2024-11-15,3.32940
2024-11-14,3.32917
2024-11-13,3.31764
2024-11-12,3.30947
2024-11-11,3.30772
2024-11-10,3.29918
2024-11-09,3.29926
2024-11-08,3.30888
2024-11-07,3.32269
2024-11-06,3.30031
2024-11-05,3.30459
2024-11-04,3.31503
2024-11-03,3.30053
2024-11-02,3.29976
2024-11-01,3.30490
2024-10-31,3.31060
2024-10-30,3.30913
2024-10-29,3.29828
2024-10-28,3.29215
2024-10-27,3.27875
2024-10-26,3.27863
2024-10-25,3.28572
2024-10-24,3.29350
2024-10-23,3.28730
2024-10-22,3.28403
2024-10-21,3.27377
2024-10-20,3.28308
2024-10-19,3.28325
2024-10-18,3.27956
2024-10-17,3.27718
2024-10-16,3.27561
2024-10-15,3.28676
2024-10-14,3.28247
2024-10-13,3.28318
2024-10-12,3.28363
2024-10-11,3.28205
2024-10-10,3.28227
2024-10-09,3.27963
2024-10-08,3.28579
2024-10-07,3.27914
2024-10-06,3.23359
2024-10-05,3.23364
2024-10-04,3.24530
2024-10-03,3.25186
2024-10-02,3.23101
2024-10-01,3.23327
2024-09-30,3.20997
2024-09-29,3.21747
2024-09-28,3.21749
2024-09-27,3.21473
2024-09-26,3.22003
2024-09-25,3.20934
2024-09-24,3.23519
2024-09-23,3.25504
2024-09-22,3.25418
2024-09-21,3.25427
2024-09-20,3.24959
2024-09-19,3.26517
2024-09-18,3.27896
2024-09-17,3.29367
2024-09-16,3.31707
2024-09-15,3.31287
2024-09-14,3.31294
2024-09-13,3.31420
2024-09-12,3.32166
2024-09-11,3.32118
2024-09-10,3.33009
2024-09-09,3.34181
2024-09-08,3.32284
2024-09-07,3.32295
2024-09-06,3.32899
2024-09-05,3.32943
2024-09-04,3.33099
2024-09-03,3.33771
2024-09-02,3.32475
2024-09-01,3.30422
2024-08-31,3.30402
2024-08-30,3.30929
2024-08-29,3.31330
2024-08-28,3.33003
2024-08-27,3.33615
2024-08-26,3.33978
2024-08-25,3.35964
2024-08-24,3.35982
2024-08-23,3.35041
2024-08-22,3.34383
2024-08-21,3.34882
2024-08-20,3.34320
2024-08-19,3.33933
2024-08-18,3.36591
2024-08-17,3.36631
2024-08-16,3.36218
2024-08-15,3.35780
2024-08-14,3.35769
2024-08-13,3.36647
2024-08-12,3.35590
2024-08-11,3.33358
2024-08-10,3.33350
2024-08-09,3.34770
2024-08-08,3.37302
2024-08-07,3.38246
2024-08-06,3.37038
2024-08-05,3.34247
2024-08-04,3.38745
2024-08-03,3.38760
2024-08-02,3.38776
2024-08-01,3.41369
2024-07-31,3.43338
2024-07-30,3.44115
2024-07-29,3.45187
2024-07-28,3.46580
2024-07-27,3.46595
2024-07-26,3.46668
2024-07-25,3.47205
2024-07-24,3.47450
2024-07-23,3.47157
2024-07-22,3.47930
2024-07-21,3.48128
2024-07-20,3.48102
2024-07-19,3.48014
2024-07-18,3.47580
2024-07-17,3.47806
2024-07-16,3.47622
2024-07-15,3.47838
2024-07-14,3.48721
2024-07-13,3.48796
2024-07-12,3.47907
2024-07-11,3.48340
2024-07-10,3.48275
2024-07-09,3.48473
2024-07-08,3.48884
2024-07-07,3.49025
2024-07-06,3.49046
2024-07-05,3.48724
2024-07-04,3.48203
