Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,CNY/MYR
2024-12-31,0.611943
2024-12-30,0.611618
2024-12-29,0.612352
2024-12-28,0.612353
2024-12-27,0.612458
2024-12-26,0.611949
2024-12-25,0.614262
2024-12-24,0.614575
2024-12-23,0.614828
2024-12-22,0.617447
2024-12-21,0.617449
2024-12-20,0.617383
2024-12-19,0.616855
2024-12-18,0.612965
2024-12-17,0.611888
2024-12-16,0.611153
2024-12-15,0.611207
2024-12-14,0.611207
2024-12-13,0.611251
2024-12-12,0.610018
2024-12-11,0.609923
2024-12-10,0.610077
2024-12-09,0.608369
2024-12-08,0.607349
2024-12-07,0.607351
2024-12-06,0.608038
2024-12-05,0.609176
2024-12-04,0.612419
2024-12-03,0.613013
2024-12-02,0.613162
2024-12-01,0.613359
2024-11-30,0.613359
2024-11-29,0.613241
2024-11-28,0.612914
2024-11-27,0.613601
2024-11-26,0.615901
2024-11-25,0.615043
2024-11-24,0.616441
2024-11-23,0.616441
2024-11-22,0.616217
2024-11-21,0.616500
2024-11-20,0.616699
2024-11-19,0.617308
2024-11-18,0.617752
2024-11-17,0.617665
2024-11-16,0.617665
2024-11-15,0.618281
2024-11-14,0.618795
2024-11-13,0.615490
2024-11-12,0.612078
2024-11-11,0.611699
2024-11-10,0.610011
2024-11-09,0.610011
2024-11-08,0.611508
2024-11-07,0.615156
2024-11-06,0.613415
2024-11-05,0.612541
2024-11-04,0.615365
2024-11-03,0.614366
2024-11-02,0.614366
2024-11-01,0.614358
2024-10-31,0.614647
2024-10-30,0.614530
2024-10-29,0.612181
2024-10-28,0.610977
2024-10-27,0.609020
2024-10-26,0.609020
2024-10-25,0.609162
2024-10-24,0.610685
2024-10-23,0.609102
2024-10-22,0.606626
2024-10-21,0.604493
2024-10-20,0.605731
2024-10-19,0.605747
2024-10-18,0.605253
2024-10-17,0.604361
2024-10-16,0.603174
2024-10-15,0.604832
2024-10-14,0.605869
2024-10-13,0.606387
2024-10-12,0.606393
2024-10-11,0.605967
2024-10-10,0.606281
2024-10-09,0.605304
2024-10-08,0.606736
2024-10-07,0.604477
2024-10-06,0.596420
2024-10-05,0.596414
2024-10-04,0.597865
2024-10-03,0.598233
2024-10-02,0.592244
2024-10-01,0.592117
2024-09-30,0.586625
2024-09-29,0.587858
2024-09-28,0.587862
2024-09-27,0.587850
2024-09-26,0.589887
2024-09-25,0.587329
2024-09-24,0.591842
2024-09-23,0.595875
2024-09-22,0.595563
2024-09-21,0.595563
2024-09-20,0.594794
2024-09-19,0.597167
2024-09-18,0.598743
2024-09-17,0.601323
2024-09-16,0.605925
2024-09-15,0.606094
2024-09-14,0.606103
2024-09-13,0.606325
2024-09-12,0.608315
2024-09-11,0.608097
2024-09-10,0.610471
2024-09-09,0.613279
2024-09-08,0.610662
2024-09-07,0.610657
2024-09-06,0.610681
2024-09-05,0.610516
2024-09-04,0.611291
2024-09-03,0.613164
2024-09-02,0.610923
2024-09-01,0.608613
2024-08-31,0.608604
2024-08-30,0.608440
2024-08-29,0.607252
2024-08-28,0.608934
2024-08-27,0.610363
2024-08-26,0.610893
2024-08-25,0.613748
2024-08-24,0.613734
2024-08-23,0.613191
2024-08-22,0.612825
2024-08-21,0.613251
2024-08-20,0.613074
2024-08-19,0.612912
2024-08-18,0.618172
2024-08-17,0.618230
2024-08-16,0.618591
2024-08-15,0.619381
2024-08-14,0.619027
2024-08-13,0.620734
2024-08-12,0.619266
2024-08-11,0.616111
2024-08-10,0.616104
2024-08-09,0.618092
2024-08-08,0.623550
2024-08-07,0.626484
2024-08-06,0.625762
2024-08-05,0.620317
2024-08-04,0.627777
2024-08-03,0.627776
2024-08-02,0.626600
2024-08-01,0.630343
2024-07-31,0.636143
2024-07-30,0.637291
2024-07-29,0.638738
2024-07-28,0.641964
2024-07-27,0.641965
2024-07-26,0.642283
2024-07-25,0.644374
2024-07-24,0.642268
2024-07-23,0.642098
2024-07-22,0.643763
2024-07-21,0.644109
2024-07-20,0.644084
2024-07-19,0.643749
2024-07-18,0.642257
2024-07-17,0.645144
2024-07-16,0.645589
2024-07-15,0.643590
2024-07-14,0.644850
2024-07-13,0.644865
2024-07-12,0.643459
2024-07-11,0.645050
2024-07-10,0.645819
2024-07-09,0.646971
2024-07-08,0.647402
2024-07-07,0.647487
2024-07-06,0.647482
2024-07-05,0.647421
2024-07-04,0.647351
2024-07-03,0.648301
2024-07-02,0.648523
2024-07-01,0.648055
2024-06-30,0.648576
2024-06-29,0.648574
2024-06-28,0.648805
2024-06-27,0.648829
2024-06-26,0.647869
2024-06-25,0.647477
2024-06-24,0.648494
2024-06-23,0.648257
2024-06-22,0.648249
2024-06-21,0.648538
2024-06-20,0.648223
2024-06-19,0.648190
2024-06-18,0.649252
2024-06-17,0.649867
2024-06-16,0.649518
2024-06-15,0.649504
2024-06-14,0.649391
2024-06-13,0.648796
2024-06-12,0.650855
2024-06-11,0.650696
2024-06-10,0.650545
2024-06-09,0.646836
2024-06-08,0.646840
2024-06-07,0.647154
2024-06-06,0.647492
2024-06-05,0.647884
2024-06-04,0.648185
2024-06-03,0.649072
2024-06-02,0.649445
