Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,EGP/MYR
2024-12-31,0.0878104
2024-12-30,0.0877558
2024-12-29,0.0878297
2024-12-28,0.0878251
2024-12-27,0.0878557
2024-12-26,0.0877785
2024-12-25,0.0881998
2024-12-24,0.0879552
2024-12-23,0.0879453
2024-12-22,0.0884702
2024-12-21,0.0884678
2024-12-20,0.0884495
2024-12-19,0.0883876
2024-12-18,0.0878027
2024-12-17,0.0877019
2024-12-16,0.0875723
2024-12-15,0.0874891
2024-12-14,0.0874938
2024-12-13,0.0874787
2024-12-12,0.0872750
2024-12-11,0.0875031
2024-12-10,0.0876064
2024-12-09,0.0876871
2024-12-08,0.0883082
2024-12-07,0.0883099
2024-12-06,0.0883395
2024-12-05,0.0885939
2024-12-04,0.0893886
2024-12-03,0.0897559
2024-12-02,0.0895384
2024-12-01,0.0895086
2024-11-30,0.0895230
2024-11-29,0.0894798
2024-11-28,0.0894539
2024-11-27,0.0894410
2024-11-26,0.0897992
2024-11-25,0.0897910
2024-11-24,0.0899120
2024-11-23,0.0898683
2024-11-22,0.0897964
2024-11-21,0.0897519
2024-11-20,0.0899117
2024-11-19,0.0902323
2024-11-18,0.0904790
2024-11-17,0.0904947
2024-11-16,0.0904959
2024-11-15,0.0904303
2024-11-14,0.0905807
2024-11-13,0.0901476
2024-11-12,0.0898872
2024-11-11,0.0893940
2024-11-10,0.0887857
2024-11-09,0.0887898
2024-11-08,0.0888329
2024-11-07,0.0893365
2024-11-06,0.0892613
2024-11-05,0.0885784
2024-11-04,0.0891970
2024-11-03,0.0894053
2024-11-02,0.0893753
2024-11-01,0.0893549
2024-10-31,0.0894832
2024-10-30,0.0898045
2024-10-29,0.0896358
2024-10-28,0.0893399
2024-10-27,0.0888735
2024-10-26,0.0888749
2024-10-25,0.0889035
2024-10-24,0.0891015
2024-10-23,0.0890748
2024-10-22,0.0887024
2024-10-21,0.0883325
2024-10-20,0.0884096
2024-10-19,0.0884106
2024-10-18,0.0884208
2024-10-17,0.0884863
2024-10-16,0.0883301
2024-10-15,0.0885575
2024-10-14,0.0882379
2024-10-13,0.0881562
2024-10-12,0.0881624
2024-10-11,0.0881378
2024-10-10,0.0883196
2024-10-09,0.0881511
2024-10-08,0.0882312
2024-10-07,0.0883148
2024-10-06,0.0872181
2024-10-05,0.0872229
2024-10-04,0.0872612
2024-10-03,0.0871145
2024-10-02,0.0861617
2024-10-01,0.0862034
2024-09-30,0.0851332
2024-09-29,0.0852017
2024-09-28,0.0851966
2024-09-27,0.0851819
2024-09-26,0.0854092
2024-09-25,0.0848470
2024-09-24,0.0854987
2024-09-23,0.0863957
2024-09-22,0.0865409
2024-09-21,0.0865400
2024-09-20,0.0864187
2024-09-19,0.0869738
2024-09-18,0.0874549
2024-09-17,0.0880656
2024-09-16,0.0887479
2024-09-15,0.0887744
2024-09-14,0.0887666
2024-09-13,0.0888570
2024-09-12,0.0894093
2024-09-11,0.0894271
2024-09-10,0.0898447
2024-09-09,0.0900882
2024-09-08,0.0893186
2024-09-07,0.0893148
2024-09-06,0.0893106
2024-09-05,0.0893664
2024-09-04,0.0896329
2024-09-03,0.0899606
2024-09-02,0.0894230
2024-09-01,0.0887510
2024-08-31,0.0887520
2024-08-30,0.0887057
2024-08-29,0.0886628
2024-08-28,0.0891260
2024-08-27,0.0892037
2024-08-26,0.0891700
2024-08-25,0.0895767
2024-08-24,0.0895807
2024-08-23,0.0896237
2024-08-22,0.0896361
2024-08-21,0.0895142
2024-08-20,0.0894068
2024-08-19,0.0895825
2024-08-18,0.0905194
2024-08-17,0.0905270
2024-08-16,0.0905947
2024-08-15,0.0903842
2024-08-14,0.0897418
2024-08-13,0.0900626
2024-08-12,0.0901259
2024-08-11,0.0896169
2024-08-10,0.0896161
2024-08-09,0.0899389
2024-08-08,0.0907361
2024-08-07,0.0911417
2024-08-06,0.0907267
2024-08-05,0.0901153
2024-08-04,0.0922991
2024-08-03,0.0922962
2024-08-02,0.0925402
2024-08-01,0.0937496
2024-07-31,0.0946866
2024-07-30,0.0954904
2024-07-29,0.0958766
2024-07-28,0.0962253
2024-07-27,0.0962225
2024-07-26,0.0962582
2024-07-25,0.0964259
2024-07-24,0.0965234
2024-07-23,0.0964826
2024-07-22,0.0967380
2024-07-21,0.0970340
2024-07-20,0.0970239
2024-07-19,0.0969461
2024-07-18,0.0966227
2024-07-17,0.0968480
2024-07-16,0.0972783
2024-07-15,0.0972872
2024-07-14,0.0973612
2024-07-13,0.0973943
2024-07-12,0.0972375
2024-07-11,0.0975869
2024-07-10,0.0977712
2024-07-09,0.0979277
2024-07-08,0.0980827
2024-07-07,0.0980139
2024-07-06,0.0980329
2024-07-05,0.0980209
2024-07-04,0.0979260
2024-07-03,0.0978715
2024-07-02,0.0977885
2024-07-01,0.0977874
2024-06-30,0.0981485
2024-06-29,0.0981139
2024-06-28,0.0981271
2024-06-27,0.0981396
2024-06-26,0.0976076
2024-06-25,0.0972220
2024-06-24,0.0976915
2024-06-23,0.0986394
2024-06-22,0.0986395
2024-06-21,0.0986684
2024-06-20,0.0986069
2024-06-19,0.0985578
2024-06-18,0.0987022
2024-06-17,0.0987956
2024-06-16,0.0987893
2024-06-15,0.0987951
2024-06-14,0.0987263
2024-06-13,0.0985735
2024-06-12,0.0989018
2024-06-11,0.0990284
2024-06-10,0.0988294
2024-06-09,0.0985535
2024-06-08,0.0986031
2024-06-07,0.0986455
2024-06-06,0.0986193
2024-06-05,0.0987077
2024-06-04,0.0992017
2024-06-03,0.0996338
2024-06-02,0.0994860
2024-06-01,0.0994689
2024-05-31,0.0994389
2024-05-30,0.0993991
2024-05-29,0.0990639
2024-05-28,0.0988116
2024-05-27,0.0995940
2024-05-26,0.0997023
2024-05-25,0.0997000
2024-05-24,0.0998043
2024-05-23,0.0999378
2024-05-22,0.100222
2024-05-21,0.100396
2024-05-20,0.100107
2024-05-19,0.0997815
2024-05-18,0.0997832
2024-05-17,0.0997709
2024-05-16,0.0997765
2024-05-15,0.100357
2024-05-14,0.100517
2024-05-13,0.100297
2024-05-12,0.0998763
2024-05-11,0.0998789
2024-05-10,0.0998507
2024-05-09,0.0998580
2024-05-08,0.0994984
2024-05-07,0.0990205
2024-05-06,0.0987376
2024-05-05,0.0987291
2024-05-04,0.0987259
2024-05-03,0.0987360
2024-05-02,0.0992891
2024-05-01,0.0995422
2024-04-30,0.0995228
2024-04-29,0.0996496
2024-04-28,0.0994098
2024-04-27,0.0994009
2024-04-26,0.0994745
