Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,HKD/MYR
2024-12-31,0.575182
2024-12-30,0.575138
2024-12-29,0.575834
2024-12-28,0.575845
2024-12-27,0.575918
2024-12-26,0.575081
2024-12-25,0.577289
2024-12-24,0.577414
2024-12-23,0.577561
2024-12-22,0.579251
2024-12-21,0.579225
2024-12-20,0.579791
2024-12-19,0.579292
2024-12-18,0.574800
2024-12-17,0.573711
2024-12-16,0.572472
2024-12-15,0.571972
2024-12-14,0.571973
2024-12-13,0.572077
2024-12-12,0.570182
2024-12-11,0.569493
2024-12-10,0.569067
2024-12-09,0.568645
2024-12-08,0.567698
2024-12-07,0.567705
2024-12-06,0.567823
2024-12-05,0.568674
2024-12-04,0.572128
2024-12-03,0.573914
2024-12-02,0.572759
2024-12-01,0.570849
2024-11-30,0.570847
2024-11-29,0.570485
2024-11-28,0.570765
2024-11-27,0.571009
2024-11-26,0.572876
2024-11-25,0.572258
2024-11-24,0.573628
2024-11-23,0.573624
2024-11-22,0.573623
2024-11-21,0.573522
2024-11-20,0.573967
2024-11-19,0.574197
2024-11-18,0.574533
2024-11-17,0.573857
2024-11-16,0.573864
2024-11-15,0.574397
2024-11-14,0.575492
2024-11-13,0.571418
2024-11-12,0.569114
2024-11-11,0.566457
2024-11-10,0.563343
2024-11-09,0.563348
2024-11-08,0.563724
2024-11-07,0.566582
2024-11-06,0.565158
2024-11-05,0.560000
2024-11-04,0.562132
2024-11-03,0.562724
2024-11-02,0.562728
2024-11-01,0.562719
2024-10-31,0.562991
2024-10-30,0.563490
2024-10-29,0.562166
2024-10-28,0.560458
2024-10-27,0.558192
2024-10-26,0.558199
2024-10-25,0.558444
2024-10-24,0.559507
2024-10-23,0.558759
2024-10-22,0.555920
2024-10-21,0.553276
2024-10-20,0.553647
2024-10-19,0.553660
2024-10-18,0.553717
2024-10-17,0.553879
2024-10-16,0.552575
2024-10-15,0.554048
2024-10-14,0.552571
2024-10-13,0.551515
2024-10-12,0.551524
2024-10-11,0.551341
2024-10-10,0.552155
2024-10-09,0.550796
2024-10-08,0.551174
2024-10-07,0.550588
2024-10-06,0.543180
2024-10-05,0.543165
2024-10-04,0.543524
2024-10-03,0.542752
2024-10-02,0.536641
2024-10-01,0.535392
2024-09-30,0.529663
2024-09-29,0.530402
2024-09-28,0.530420
2024-09-27,0.530212
2024-09-26,0.531930
2024-09-25,0.530123
2024-09-24,0.535010
2024-09-23,0.539738
2024-09-22,0.539187
2024-09-21,0.539196
2024-09-20,0.538502
2024-09-19,0.541908
2024-09-18,0.544596
2024-09-17,0.547492
2024-09-16,0.551502
2024-09-15,0.551295
2024-09-14,0.551290
2024-09-13,0.551964
2024-09-12,0.555215
2024-09-11,0.555061
2024-09-10,0.557554
2024-09-09,0.559362
2024-09-08,0.555356
2024-09-07,0.555349
2024-09-06,0.555403
2024-09-05,0.555927
2024-09-04,0.557815
2024-09-03,0.560016
2024-09-02,0.557273
2024-09-01,0.553681
2024-08-31,0.553682
2024-08-30,0.553474
2024-08-29,0.553380
2024-08-28,0.556499
2024-08-27,0.557362
2024-08-26,0.558098
2024-08-25,0.560737
2024-08-24,0.560753
2024-08-23,0.561030
2024-08-22,0.561297
2024-08-21,0.561353
2024-08-20,0.561082
2024-08-19,0.561540
2024-08-18,0.568198
2024-08-17,0.568244
2024-08-16,0.568726
2024-08-15,0.568497
2024-08-14,0.567394
2024-08-13,0.571023
2024-08-12,0.570255
2024-08-11,0.566297
2024-08-10,0.566295
2024-08-09,0.568432
2024-08-08,0.573788
2024-08-07,0.575861
2024-08-06,0.573320
2024-08-05,0.568187
2024-08-04,0.575685
2024-08-03,0.575675
2024-08-02,0.577178
2024-08-01,0.584018
2024-07-31,0.588472
2024-07-30,0.591871
2024-07-29,0.593684
2024-07-28,0.596184
2024-07-27,0.596185
2024-07-26,0.596363
2024-07-25,0.597482
2024-07-24,0.598064
2024-07-23,0.598267
2024-07-22,0.599572
2024-07-21,0.599670
2024-07-20,0.599665
2024-07-19,0.599246
2024-07-18,0.597272
2024-07-17,0.597616
2024-07-16,0.598745
2024-07-15,0.598289
2024-07-14,0.599039
2024-07-13,0.599067
2024-07-12,0.598181
2024-07-11,0.600272
2024-07-10,0.601724
2024-07-09,0.602474
2024-07-08,0.602676
2024-07-07,0.602540
2024-07-06,0.602531
2024-07-05,0.602597
2024-07-04,0.602815
2024-07-03,0.603683
2024-07-02,0.603693
2024-07-01,0.603155
2024-06-30,0.603828
2024-06-29,0.603831
2024-06-28,0.603961
2024-06-27,0.604113
2024-06-26,0.602971
2024-06-25,0.602375
2024-06-24,0.603245
2024-06-23,0.603152
2024-06-22,0.603139
2024-06-21,0.603594
2024-06-20,0.603173
2024-06-19,0.602687
2024-06-18,0.603500
2024-06-17,0.603917
2024-06-16,0.603428
2024-06-15,0.603420
2024-06-14,0.603376
2024-06-13,0.602567
2024-06-12,0.603785
2024-06-11,0.604033
2024-06-10,0.603671
2024-06-09,0.600176
2024-06-08,0.600173
2024-06-07,0.600524
2024-06-06,0.600886
2024-06-05,0.601279
2024-06-04,0.600937
2024-06-03,0.601443
2024-06-02,0.601534
2024-06-01,0.601538
2024-05-31,0.601437
2024-05-30,0.601774
2024-05-29,0.601542
2024-05-28,0.600602
2024-05-27,0.601601
2024-05-26,0.602090
2024-05-25,0.602076
2024-05-24,0.602794
2024-05-23,0.602332
2024-05-22,0.600693
2024-05-21,0.600947
2024-05-20,0.600330
2024-05-19,0.600361
2024-05-18,0.600363
2024-05-17,0.600314
2024-05-16,0.600281
2024-05-15,0.602374
2024-05-14,0.604352
2024-05-13,0.605858
2024-05-12,0.606100
2024-05-11,0.606104
2024-05-10,0.606111
2024-05-09,0.606326
2024-05-08,0.606422
2024-05-07,0.605625
2024-05-06,0.606065
2024-05-05,0.606424
2024-05-04,0.606428
2024-05-03,0.606328
2024-05-02,0.608401
2024-05-01,0.609175
2024-04-30,0.609320
2024-04-29,0.609175
2024-04-28,0.608655
2024-04-27,0.608663
2024-04-26,0.609063
2024-04-25,0.610192
2024-04-24,0.609575
2024-04-23,0.609513
2024-04-22,0.609723
2024-04-21,0.609810
2024-04-20,0.609807
2024-04-19,0.610158
2024-04-18,0.609939
2024-04-17,0.611373
2024-04-16,0.611369
2024-04-15,0.609730
2024-04-14,0.608203
2024-04-13,0.608196
2024-04-12,0.608189
2024-04-11,0.605533
2024-04-10,0.605754
2024-04-09,0.606143
2024-04-08,0.606573
2024-04-07,0.606038
2024-04-06,0.606034
2024-04-05,0.605944
2024-04-04,0.605122
2024-04-03,0.606875
2024-04-02,0.606815
2024-04-01,0.603679
2024-03-31,0.603342
2024-03-30,0.603343
2024-03-29,0.603580
2024-03-28,0.604518
2024-03-27,0.604328
2024-03-26,0.603123
2024-03-25,0.604055
2024-03-24,0.605298
2024-03-23,0.605295
2024-03-22,0.605416
2024-03-21,0.602156
2024-03-20,0.605450
2024-03-19,0.604536
2024-03-18,0.602796
2024-03-17,0.601041
2024-03-16,0.601043
2024-03-15,0.603861
2024-03-14,0.598894
2024-03-13,0.598324
2024-03-12,0.597770
2024-03-11,0.598577
2024-03-10,0.599022
2024-03-09,0.599033
2024-03-08,0.599143
2024-03-07,0.601990
2024-03-06,0.604604
2024-03-05,0.604494
2024-03-04,0.603586
2024-03-03,0.605822
2024-03-02,0.605822
2024-03-01,0.605481
2024-02-29,0.606735
2024-02-28,0.608498
2024-02-27,0.609481
2024-02-26,0.610212
2024-02-25,0.610114
2024-02-24,0.610115
2024-02-23,0.610301
2024-02-22,0.610935
2024-02-21,0.612866
2024-02-20,0.612399
2024-02-19,0.611469
2024-02-18,0.610747
2024-02-17,0.610741
2024-02-16,0.610674
2024-02-15,0.611099
2024-02-14,0.611372
2024-02-13,0.609180
2024-02-12,0.609103
2024-02-11,0.608839
2024-02-10,0.608845
2024-02-09,0.608216
2024-02-08,0.606883
2024-02-07,0.605780
2024-02-06,0.608344
2024-02-05,0.607178
2024-02-04,0.602742
2024-02-03,0.602743
2024-02-02,0.603412
2024-02-01,0.604511
2024-01-31,0.604596
2024-01-30,0.604631
2024-01-29,0.605341
2024-01-28,0.604596
2024-01-27,0.604595
2024-01-26,0.604691
2024-01-25,0.604645
2024-01-24,0.604707
2024-01-23,0.604244
2024-01-22,0.603907
2024-01-21,0.602724
2024-01-20,0.602733
2024-01-19,0.602805
2024-01-18,0.602853
2024-01-17,0.602453
2024-01-16,0.598119
2024-01-15,0.595907
2024-01-14,0.593832
2024-01-13,0.593835
2024-01-12,0.593768
2024-01-11,0.593622
2024-01-10,0.593756
2024-01-09,0.594023
2024-01-08,0.595444
2024-01-07,0.595515
2024-01-06,0.595514
2024-01-05,0.594765
2024-01-04,0.593418
2024-01-03,0.591843
2024-01-02,0.588653
2024-01-01,0.588082

Period Average,0.585894
Period Low,0.529663
Period High,0.612866
