Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,INR/MYR
2024-12-31,0.0521803
2024-12-30,0.0522141
2024-12-29,0.0523407
2024-12-28,0.0523410
2024-12-27,0.0523082
2024-12-26,0.0523311
2024-12-25,0.0524883
2024-12-24,0.0526517
2024-12-23,0.0527465
2024-12-22,0.0530359
2024-12-21,0.0530359
2024-12-20,0.0529951
2024-12-19,0.0528930
2024-12-18,0.0525660
2024-12-17,0.0524914
2024-12-16,0.0524351
2024-12-15,0.0524169
2024-12-14,0.0524150
2024-12-13,0.0524330
2024-12-12,0.0522400
2024-12-11,0.0521887
2024-12-10,0.0521332
2024-12-09,0.0521523
2024-12-08,0.0521574
2024-12-07,0.0521574
2024-12-06,0.0521728
2024-12-05,0.0522426
2024-12-04,0.0525682
2024-12-03,0.0527261
2024-12-02,0.0526206
2024-12-01,0.0525261
2024-11-30,0.0525305
2024-11-29,0.0525149
2024-11-28,0.0525847
2024-11-27,0.0526275
2024-11-26,0.0528805
2024-11-25,0.0528182
2024-11-24,0.0528860
2024-11-23,0.0528869
2024-11-22,0.0528604
2024-11-21,0.0528383
2024-11-20,0.0529397
2024-11-19,0.0529415
2024-11-18,0.0529828
2024-11-17,0.0528738
2024-11-16,0.0528743
2024-11-15,0.0529465
2024-11-14,0.0530325
2024-11-13,0.0526636
2024-11-12,0.0524510
2024-11-11,0.0521852
2024-11-10,0.0518942
2024-11-09,0.0518960
2024-11-08,0.0519342
2024-11-07,0.0522281
2024-11-06,0.0521493
2024-11-05,0.0517370
2024-11-04,0.0519467
2024-11-03,0.0520363
2024-11-02,0.0520353
2024-11-01,0.0520454
2024-10-31,0.0520419
2024-10-30,0.0520759
2024-10-29,0.0519593
2024-10-28,0.0518013
2024-10-27,0.0515758
2024-10-26,0.0515757
2024-10-25,0.0516045
2024-10-24,0.0517045
2024-10-23,0.0516397
2024-10-22,0.0513900
2024-10-21,0.0511450
2024-10-20,0.0511725
2024-10-19,0.0511736
2024-10-18,0.0511790
2024-10-17,0.0512218
2024-10-16,0.0510845
2024-10-15,0.0511956
2024-10-14,0.0510445
2024-10-13,0.0509542
2024-10-12,0.0509551
2024-10-11,0.0509671
2024-10-10,0.0511027
2024-10-09,0.0509946
2024-10-08,0.0510204
