Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,KHR/MYR
2024-12-31,0.00108243
2024-12-30,0.00108520
2024-12-29,0.00108785
2024-12-28,0.00108785
2024-12-27,0.00108845
2024-12-26,0.00108790
2024-12-25,0.00109189
2024-12-24,0.00109174
2024-12-23,0.00109234
2024-12-22,0.00109517
2024-12-21,0.00109517
2024-12-20,0.00109408
2024-12-19,0.00109129
2024-12-18,0.00108607
2024-12-17,0.00108453
2024-12-16,0.00108230
2024-12-15,0.00107868
2024-12-14,0.00107868
2024-12-13,0.00107845
2024-12-12,0.00107675
2024-12-11,0.00107884
2024-12-10,0.00107524
2024-12-09,0.00107341
2024-12-08,0.00107352
2024-12-07,0.00107352
2024-12-06,0.00107924
2024-12-05,0.00108062
2024-12-04,0.00108682
2024-12-03,0.00108820
2024-12-02,0.00108804
2024-12-01,0.00109346
2024-11-30,0.00109346
2024-11-29,0.00108567
2024-11-28,0.00108557
2024-11-27,0.00108711
2024-11-26,0.00109088
2024-11-25,0.00109028
2024-11-24,0.00109435
2024-11-23,0.00109435
2024-11-22,0.00108776
2024-11-21,0.00108637
2024-11-20,0.00108660
2024-11-19,0.00108804
2024-11-18,0.00108585
2024-11-17,0.00109194
2024-11-16,0.00109194
2024-11-15,0.00108509
2024-11-14,0.00108388
2024-11-13,0.00108019
2024-11-12,0.00107047
2024-11-11,0.00106100
2024-11-10,0.00106862
2024-11-09,0.00106887
2024-11-08,0.00106491
2024-11-07,0.00106720
2024-11-06,0.00106844
2024-11-05,0.00105843
2024-11-04,0.00106021
2024-11-03,0.00106041
2024-11-02,0.00106051
2024-11-01,0.00105616
2024-10-31,0.00105720
2024-10-30,0.00105783
2024-10-29,0.00105433
2024-10-28,0.00105027
2024-10-27,0.00104576
2024-10-26,0.00104576
2024-10-25,0.00104904
2024-10-24,0.00105377
2024-10-23,0.00105341
2024-10-22,0.00104848
2024-10-21,0.00104376
2024-10-20,0.00104966
2024-10-19,0.00104972
2024-10-18,0.00104212
2024-10-17,0.00104384
2024-10-16,0.00104054
2024-10-15,0.00104363
2024-10-14,0.00103657
2024-10-13,0.00104444
2024-10-12,0.00104448
2024-10-11,0.00103748
2024-10-10,0.00103804
2024-10-09,0.00103691
2024-10-08,0.00103802
2024-10-07,0.00103547
2024-10-06,0.00103126
2024-10-05,0.00103136
2024-10-04,0.00102520
2024-10-03,0.00102039
2024-10-02,0.00100989
2024-10-01,0.00100790
2024-09-30,0.000998877
2024-09-29,0.00100519
2024-09-28,0.00100522
2024-09-27,0.000999581
2024-09-26,0.000998066
2024-09-25,0.00100022
2024-09-24,0.00100900
2024-09-23,0.00101764
2024-09-22,0.00101423
2024-09-21,0.00101421
2024-09-20,0.00101346
2024-09-19,0.00102136
2024-09-18,0.00102952
2024-09-17,0.00103362
2024-09-16,0.00104215
2024-09-15,0.00104871
2024-09-14,0.00104878
2024-09-13,0.00104843
2024-09-12,0.00104866
2024-09-11,0.00104846
2024-09-10,0.00105193
2024-09-09,0.00105403
2024-09-08,0.00105301
2024-09-07,0.00105302
2024-09-06,0.00104672
2024-09-05,0.00105020
2024-09-04,0.00105454
2024-09-03,0.00105910
2024-09-02,0.00105106
2024-09-01,0.00105610
2024-08-31,0.00105614
2024-08-30,0.00104692
2024-08-29,0.00104605
2024-08-28,0.00104977
2024-08-27,0.00105332
2024-08-26,0.00105603
2024-08-25,0.00106050
