Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,KRW/MYR
2024-12-31,0.00302581
2024-12-30,0.00302977
2024-12-29,0.00303054
2024-12-28,0.00303062
2024-12-27,0.00302976
2024-12-26,0.00304542
2024-12-25,0.00307324
2024-12-24,0.00307378
2024-12-23,0.00308890
2024-12-22,0.00311065
2024-12-21,0.00311064
2024-12-20,0.00311056
2024-12-19,0.00310680
2024-12-18,0.00309836
2024-12-17,0.00309983
2024-12-16,0.00309602
2024-12-15,0.00309527
2024-12-14,0.00309528
2024-12-13,0.00309983
2024-12-12,0.00309591
2024-12-11,0.00309325
2024-12-10,0.00308940
2024-12-09,0.00308720
2024-12-08,0.00309488
2024-12-07,0.00309485
2024-12-06,0.00310646
2024-12-05,0.00312398
2024-12-04,0.00314617
2024-12-03,0.00316198
2024-12-02,0.00317200
2024-12-01,0.00315739
2024-11-30,0.00315802
2024-11-29,0.00317674
2024-11-28,0.00318113
2024-11-27,0.00318623
2024-11-26,0.00318668
2024-11-25,0.00317761
2024-11-24,0.00317664
2024-11-23,0.00317664
2024-11-22,0.00317907
2024-11-21,0.00318876
2024-11-20,0.00319803
2024-11-19,0.00320697
2024-11-18,0.00320544
2024-11-17,0.00319468
2024-11-16,0.00319457
2024-11-15,0.00319668
2024-11-14,0.00318520
2024-11-13,0.00316311
2024-11-12,0.00314722
2024-11-11,0.00314761
2024-11-10,0.00313038
2024-11-09,0.00313038
2024-11-08,0.00314923
2024-11-07,0.00316430
2024-11-06,0.00314320
2024-11-05,0.00315493
2024-11-04,0.00317902
2024-11-03,0.00316797
2024-11-02,0.00316819
2024-11-01,0.00317320
2024-10-31,0.00317541
2024-10-30,0.00317154
2024-10-29,0.00315331
2024-10-28,0.00314414
2024-10-27,0.00311975
2024-10-26,0.00311959
2024-10-25,0.00312402
2024-10-24,0.00314900
2024-10-23,0.00314046
2024-10-22,0.00313155
2024-10-21,0.00312276
2024-10-20,0.00313855
2024-10-19,0.00313864
2024-10-18,0.00313804
2024-10-17,0.00314111
2024-10-16,0.00314820
2024-10-15,0.00315779
2024-10-14,0.00315989
2024-10-13,0.00317357
2024-10-12,0.00317359
2024-10-11,0.00317263
2024-10-10,0.00317507
2024-10-09,0.00318207
2024-10-08,0.00317980
2024-10-07,0.00317575
2024-10-06,0.00313075
2024-10-05,0.00313073
2024-10-04,0.00314451
2024-10-03,0.00315913
2024-10-02,0.00315091
2024-10-01,0.00314447
2024-09-30,0.00313414
2024-09-29,0.00314161
2024-09-28,0.00314160
2024-09-27,0.00313692
2024-09-26,0.00312706
2024-09-25,0.00309632
2024-09-24,0.00312630
2024-09-23,0.00314514
2024-09-22,0.00314991
2024-09-21,0.00314987
2024-09-20,0.00314630
2024-09-19,0.00317499
2024-09-18,0.00320373
2024-09-17,0.00322875
2024-09-16,0.00325261
2024-09-15,0.00323066
2024-09-14,0.00323074
2024-09-13,0.00323591
2024-09-12,0.00323135
