Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,MMK/MYR
2024-12-31,0.00210784
2024-12-30,0.00210700
2024-12-29,0.00210935
2024-12-28,0.00210935
2024-12-27,0.00210974
2024-12-26,0.00210798
2024-12-25,0.00211615
2024-12-24,0.00211658
2024-12-23,0.00211781
2024-12-22,0.00212618
2024-12-21,0.00212618
2024-12-20,0.00212635
2024-12-19,0.00212434
2024-12-18,0.00210772
2024-12-17,0.00210370
2024-12-16,0.00210038
2024-12-15,0.00209886
2024-12-14,0.00209886
2024-12-13,0.00209906
2024-12-12,0.00209204
2024-12-11,0.00208956
2024-12-10,0.00208787
2024-12-09,0.00208669
2024-12-08,0.00208407
2024-12-07,0.00208407
2024-12-06,0.00208478
2024-12-05,0.00208851
2024-12-04,0.00210158
2024-12-03,0.00210784
2024-12-02,0.00210327
2024-12-01,0.00209635
2024-11-30,0.00209635
2024-11-29,0.00209519
2024-11-28,0.00209623
2024-11-27,0.00209677
2024-11-26,0.00210390
2024-11-25,0.00210144
2024-11-24,0.00210720
2024-11-23,0.00210720
2024-11-22,0.00210697
2024-11-21,0.00210640
2024-11-20,0.00210809
2024-11-19,0.00210886
2024-11-18,0.00211050
2024-11-17,0.00210838
2024-11-16,0.00210838
2024-11-15,0.00211000
2024-11-14,0.00211333
2024-11-13,0.00209774
2024-11-12,0.00208889
2024-11-11,0.00207840
2024-11-10,0.00206686
2024-11-09,0.00206686
2024-11-08,0.00206785
2024-11-07,0.00207814
2024-11-06,0.00207378
2024-11-05,0.00205398
2024-11-04,0.00206208
2024-11-03,0.00206520
2024-11-02,0.00206520
2024-11-01,0.00206510
2024-10-31,0.00206512
2024-10-30,0.00206649
2024-10-29,0.00206150
2024-10-28,0.00205539
2024-10-27,0.00204680
2024-10-26,0.00204680
2024-10-25,0.00204772
2024-10-24,0.00205146
2024-10-23,0.00204897
2024-10-22,0.00203915
2024-10-21,0.00202925
2024-10-20,0.00203024
2024-10-19,0.00203029
2024-10-18,0.00203037
2024-10-17,0.00203169
2024-10-16,0.00202613
2024-10-15,0.00203077
2024-10-14,0.00202512
2024-10-13,0.00202226
2024-10-12,0.00202226
2024-10-11,0.00202177
2024-10-10,0.00202476
2024-10-09,0.00202032
2024-10-08,0.00202158
2024-10-07,0.00201780
2024-10-06,0.00199091
2024-10-05,0.00199088
2024-10-04,0.00199195
2024-10-03,0.00198918
2024-10-02,0.00196650
2024-10-01,0.00196396
2024-09-30,0.00194214
2024-09-29,0.00194534
2024-09-28,0.00194535
2024-09-27,0.00194544
2024-09-26,0.00195322
2024-09-25,0.00194770
2024-09-24,0.00196556
2024-09-23,0.00198339
2024-09-22,0.00198215
2024-09-21,0.00198213
2024-09-20,0.00198002
2024-09-19,0.00199312
2024-09-18,0.00200277
2024-09-17,0.00201320
2024-09-16,0.00202855
2024-09-15,0.00202909
2024-09-14,0.00202911
2024-09-13,0.00203136
2024-09-12,0.00204397
2024-09-11,0.00204250
2024-09-10,0.00205144
2024-09-09,0.00205801
2024-09-08,0.00204305
2024-09-07,0.00204303
2024-09-06,0.00204283
2024-09-05,0.00204486
2024-09-04,0.00205245
2024-09-03,0.00206076
2024-09-02,0.00205039
2024-09-01,0.00203740
2024-08-31,0.00203736
2024-08-30,0.00203641
2024-08-29,0.00203624
2024-08-28,0.00204836
2024-08-27,0.00205177
2024-08-26,0.00205323
2024-08-25,0.00206322
2024-08-24,0.00206322
2024-08-23,0.00206433
2024-08-22,0.00206493
2024-08-21,0.00206425
2024-08-20,0.00206240
2024-08-19,0.00206458
2024-08-18,0.00209040
2024-08-17,0.00209059
2024-08-16,0.00209215
2024-08-15,0.00209092
2024-08-14,0.00208595
2024-08-13,0.00209891
2024-08-12,0.00209753
2024-08-11,0.00208390
2024-08-10,0.00208387
2024-08-09,0.00209150
2024-08-08,0.00210996
2024-08-07,0.00211885
2024-08-06,0.00210855
2024-08-05,0.00208697
2024-08-04,0.00212114
2024-08-03,0.00212112
2024-08-02,0.00212720
2024-08-01,0.00215362
2024-07-31,0.00216947
2024-07-30,0.00218190
2024-07-29,0.00218785
2024-07-28,0.00219639
2024-07-27,0.00219639
2024-07-26,0.00219700
2024-07-25,0.00220095
2024-07-24,0.00219638
2024-07-23,0.00219253
2024-07-22,0.00219731
2024-07-21,0.00219822
2024-07-20,0.00219855
2024-07-19,0.00219683
2024-07-18,0.00218508
2024-07-17,0.00209825
2024-07-16,0.00210199
2024-07-15,0.00210045
