Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,NPR/MYR
2024-12-31,0.0321895
2024-12-30,0.0323156
2024-12-29,0.0323950
2024-12-28,0.0323951
2024-12-27,0.0324576
2024-12-26,0.0324834
2024-12-25,0.0326023
2024-12-24,0.0325888
2024-12-23,0.0326401
2024-12-22,0.0327633
2024-12-21,0.0327633
2024-12-20,0.0327447
2024-12-19,0.0326768
2024-12-18,0.0325242
2024-12-17,0.0325010
2024-12-16,0.0324744
2024-12-15,0.0324013
2024-12-14,0.0324013
2024-12-13,0.0323664
2024-12-12,0.0322776
2024-12-11,0.0323179
2024-12-10,0.0322009
2024-12-09,0.0321888
2024-12-08,0.0321974
2024-12-07,0.0321976
2024-12-06,0.0322336
2024-12-05,0.0322705
2024-12-04,0.0324682
2024-12-03,0.0325780
2024-12-02,0.0325409
2024-12-01,0.0324792
2024-11-30,0.0324792
2024-11-29,0.0324873
2024-11-28,0.0325357
2024-11-27,0.0325154
2024-11-26,0.0326470
2024-11-25,0.0326250
2024-11-24,0.0326678
2024-11-23,0.0326678
2024-11-22,0.0326375
2024-11-21,0.0326751
2024-11-20,0.0327424
2024-11-19,0.0327490
2024-11-18,0.0327630
2024-11-17,0.0327455
2024-11-16,0.0327455
2024-11-15,0.0327381
2024-11-14,0.0326891
2024-11-13,0.0324945
2024-11-12,0.0323336
2024-11-11,0.0321335
2024-11-10,0.0320556
2024-11-09,0.0320556
2024-11-08,0.0321063
2024-11-07,0.0322672
2024-11-06,0.0322493
2024-11-05,0.0319870
2024-11-04,0.0321321
2024-11-03,0.0321652
2024-11-02,0.0321652
2024-11-01,0.0321811
2024-10-31,0.0321872
2024-10-30,0.0321921
2024-10-29,0.0320909
2024-10-28,0.0319709
2024-10-27,0.0318240
2024-10-26,0.0318240
2024-10-25,0.0318839
2024-10-24,0.0319397
2024-10-23,0.0318880
2024-10-22,0.0317477
2024-10-21,0.0316299
2024-10-20,0.0316055
2024-10-19,0.0316054
2024-10-18,0.0315901
2024-10-17,0.0316299
2024-10-16,0.0315586
2024-10-15,0.0316287
2024-10-14,0.0315338
2024-10-13,0.0314993
2024-10-12,0.0314991
2024-10-11,0.0315008
2024-10-10,0.0315321
2024-10-09,0.0314725
2024-10-08,0.0315068
2024-10-07,0.0314057
2024-10-06,0.0310609
2024-10-05,0.0310619
2024-10-04,0.0310662
2024-10-03,0.0310067
2024-10-02,0.0306874
2024-10-01,0.0307013
2024-09-30,0.0304144
2024-09-29,0.0304495
2024-09-28,0.0304496
2024-09-27,0.0304573
2024-09-26,0.0305503
2024-09-25,0.0305410
2024-09-24,0.0307882
2024-09-23,0.0310896
2024-09-22,0.0310202
2024-09-21,0.0310201
2024-09-20,0.0309757
2024-09-19,0.0311265
2024-09-18,0.0312972
2024-09-17,0.0314534
2024-09-16,0.0316671
2024-09-15,0.0316886
2024-09-14,0.0316898
2024-09-13,0.0317364
2024-09-12,0.0318300
2024-09-11,0.0318295
2024-09-10,0.0319746
2024-09-09,0.0320689
2024-09-08,0.0318612
2024-09-07,0.0318611
2024-09-06,0.0318723
2024-09-05,0.0319145
2024-09-04,0.0320192
2024-09-03,0.0321395
2024-09-02,0.0319742
2024-09-01,0.0318156
2024-08-31,0.0318156
2024-08-30,0.0317849
2024-08-29,0.0317973
2024-08-28,0.0320436
2024-08-27,0.0320856
2024-08-26,0.0321578
2024-08-25,0.0321849
2024-08-24,0.0321850
2024-08-23,0.0321810
2024-08-22,0.0322459
2024-08-21,0.0323036
2024-08-20,0.0322714
2024-08-19,0.0322484
2024-08-18,0.0325669
2024-08-17,0.0325701
2024-08-16,0.0325628
2024-08-15,0.0325950
2024-08-14,0.0325764
2024-08-13,0.0327360
2024-08-12,0.0327118
2024-08-11,0.0324943
2024-08-10,0.0324936
2024-08-09,0.0326035
2024-08-08,0.0330877
2024-08-07,0.0332459
2024-08-06,0.0330296
2024-08-05,0.0326648
2024-08-04,0.0331670
2024-08-03,0.0331666
2024-08-02,0.0332592
2024-08-01,0.0336699
2024-07-31,0.0339043
2024-07-30,0.0340789
2024-07-29,0.0342141
2024-07-28,0.0343567
2024-07-27,0.0343564
2024-07-26,0.0343637
2024-07-25,0.0344189
2024-07-24,0.0344617
2024-07-23,0.0344965
2024-07-22,0.0345797
2024-07-21,0.0346113
2024-07-20,0.0346126
