Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,NZD/MYR
2024-12-31,2.50779
2024-12-30,2.52144
2024-12-29,2.51538
2024-12-28,2.51507
2024-12-27,2.51606
2024-12-26,2.51774
2024-12-25,2.52742
2024-12-24,2.53005
2024-12-23,2.53509
2024-12-22,2.54523
2024-12-21,2.54528
2024-12-20,2.54151
2024-12-19,2.53870
2024-12-18,2.55321
2024-12-17,2.56888
2024-12-16,2.57072
2024-12-15,2.56071
2024-12-14,2.56038
2024-12-13,2.56295
2024-12-12,2.56749
2024-12-11,2.56228
2024-12-10,2.57414
2024-12-09,2.58753
2024-12-08,2.57328
2024-12-07,2.57295
2024-12-06,2.58327
2024-12-05,2.59798
2024-12-04,2.60632
2024-12-03,2.62734
2024-12-02,2.62553
2024-12-01,2.62685
2024-11-30,2.62703
2024-11-29,2.62557
2024-11-28,2.61634
2024-11-27,2.61443
2024-11-26,2.60080
2024-11-25,2.60524
2024-11-24,2.60627
2024-11-23,2.60544
2024-11-22,2.60577
2024-11-21,2.61961
2024-11-20,2.62979
2024-11-19,2.63468
2024-11-18,2.62293
2024-11-17,2.61994
2024-11-16,2.62004
2024-11-15,2.62089
2024-11-14,2.62575
2024-11-13,2.62740
2024-11-12,2.63003
2024-11-11,2.62694
2024-11-10,2.61179
2024-11-09,2.61179
2024-11-08,2.62424
2024-11-07,2.64134
2024-11-06,2.61345
2024-11-05,2.60821
2024-11-04,2.61648
2024-11-03,2.60981
2024-11-02,2.60892
2024-11-01,2.61270
2024-10-31,2.61272
2024-10-30,2.61678
2024-10-29,2.60813
2024-10-28,2.60333
2024-10-27,2.59208
2024-10-26,2.59196
2024-10-25,2.60067
2024-10-24,2.61522
2024-10-23,2.61298
2024-10-22,2.61304
2024-10-21,2.60249
2024-10-20,2.61183
2024-10-19,2.61183
2024-10-18,2.61068
2024-10-17,2.60921
2024-10-16,2.60263
2024-10-15,2.61781
2024-10-14,2.61318
2024-10-13,2.61694
2024-10-12,2.61767
2024-10-11,2.61409
2024-10-10,2.60960
2024-10-09,2.60185
2024-10-08,2.62383
2024-10-07,2.62596
2024-10-06,2.59771
2024-10-05,2.59755
2024-10-04,2.61036
2024-10-03,2.62443
2024-10-02,2.61688
2024-10-01,2.62496
2024-09-30,2.61663
2024-09-29,2.61387
2024-09-28,2.61366
2024-09-27,2.60837
2024-09-26,2.60695
2024-09-25,2.60175
2024-09-24,2.62350
2024-09-23,2.62833
2024-09-22,2.61953
2024-09-21,2.61953
2024-09-20,2.61659
2024-09-19,2.63330
2024-09-18,2.63605
2024-09-17,2.64096
2024-09-16,2.65787
2024-09-15,2.64738
2024-09-14,2.64721
2024-09-13,2.65655
2024-09-12,2.66445
2024-09-11,2.65646
2024-09-10,2.67324
2024-09-09,2.68270
2024-09-08,2.67274
2024-09-07,2.67277
2024-09-06,2.68483
2024-09-05,2.69023
2024-09-04,2.69188
2024-09-03,2.70490
2024-09-02,2.70766
2024-09-01,2.69776
2024-08-31,2.69779
2024-08-30,2.69925
2024-08-29,2.70548
2024-08-28,2.70898
2024-08-27,2.70821
2024-08-26,2.70212
2024-08-25,2.72464
2024-08-24,2.72508
2024-08-23,2.70456
2024-08-22,2.68997
2024-08-21,2.69047
2024-08-20,2.68217
2024-08-19,2.66223
2024-08-18,2.68094
2024-08-17,2.68117
2024-08-16,2.67154
2024-08-15,2.65744
2024-08-14,2.65910
2024-08-13,2.69087
2024-08-12,2.67508
2024-08-11,2.64866
2024-08-10,2.64883
2024-08-09,2.66489
2024-08-08,2.68247
2024-08-07,2.69656
2024-08-06,2.65552
2024-08-05,2.62494
2024-08-04,2.67639
2024-08-03,2.67664
2024-08-02,2.68432
2024-08-01,2.71558
2024-07-31,2.72522
2024-07-30,2.72455
2024-07-29,2.72632
2024-07-28,2.73995
2024-07-27,2.73973
2024-07-26,2.74296
2024-07-25,2.75352
2024-07-24,2.77101
2024-07-23,2.78434
2024-07-22,2.80397
2024-07-21,2.81484
2024-07-20,2.81421
2024-07-19,2.81776
2024-07-18,2.82823
2024-07-17,2.83535
2024-07-16,2.82970
2024-07-15,2.84359
2024-07-14,2.86041
2024-07-13,2.86160
2024-07-12,2.85261
2024-07-11,2.85731
2024-07-10,2.86001
2024-07-09,2.88098
2024-07-08,2.88827
2024-07-07,2.89257
2024-07-06,2.89278
2024-07-05,2.88472
2024-07-04,2.87850
2024-07-03,2.87167
2024-07-02,2.86031
2024-07-01,2.86782
2024-06-30,2.87206
2024-06-29,2.87177
2024-06-28,2.86773
2024-06-27,2.87204
2024-06-26,2.87058
2024-06-25,2.87841
2024-06-24,2.88232
2024-06-23,2.88013
2024-06-22,2.88029
2024-06-21,2.88342
2024-06-20,2.88400
2024-06-19,2.88630
2024-06-18,2.88671
2024-06-17,2.88828
2024-06-16,2.89462
2024-06-15,2.89477
2024-06-14,2.89369
2024-06-13,2.90424
2024-06-12,2.90938
2024-06-11,2.89213
2024-06-10,2.88328
2024-06-09,2.86178
2024-06-08,2.86173
2024-06-07,2.88662
2024-06-06,2.90674
2024-06-05,2.90498
2024-06-04,2.90087
2024-06-03,2.89838
2024-06-02,2.89010
2024-06-01,2.89009
2024-05-31,2.88458
2024-05-30,2.87467
2024-05-29,2.87913
2024-05-28,2.88651
2024-05-27,2.88447
2024-05-26,2.87910
2024-05-25,2.87899
2024-05-24,2.87642
