Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,PHP/MYR
2024-12-31,0.0768093
2024-12-30,0.0770526
2024-12-29,0.0771380
2024-12-28,0.0771350
2024-12-27,0.0770248
2024-12-26,0.0767571
2024-12-25,0.0760529
2024-12-24,0.0764494
2024-12-23,0.0764845
2024-12-22,0.0764227
2024-12-21,0.0764230
2024-12-20,0.0764835
2024-12-19,0.0761469
2024-12-18,0.0755368
2024-12-17,0.0755803
2024-12-16,0.0756853
2024-12-15,0.0757132
2024-12-14,0.0757152
2024-12-13,0.0758857
2024-12-12,0.0759883
2024-12-11,0.0758486
2024-12-10,0.0762023
2024-12-09,0.0761818
2024-12-08,0.0762058
2024-12-07,0.0762059
2024-12-06,0.0763226
2024-12-05,0.0763621
2024-12-04,0.0763728
2024-12-03,0.0762148
2024-12-02,0.0758864
2024-12-01,0.0756878
2024-11-30,0.0756866
2024-11-29,0.0756820
2024-11-28,0.0756215
2024-11-27,0.0755587
2024-11-26,0.0755752
2024-11-25,0.0754816
2024-11-24,0.0756749
2024-11-23,0.0756813
2024-11-22,0.0757201
2024-11-21,0.0756223
2024-11-20,0.0757261
2024-11-19,0.0759409
2024-11-18,0.0761529
2024-11-17,0.0758838
2024-11-16,0.0758838
2024-11-15,0.0760070
2024-11-14,0.0760313
2024-11-13,0.0756820
2024-11-12,0.0753211
2024-11-11,0.0750904
2024-11-10,0.0747204
2024-11-09,0.0747204
2024-11-08,0.0749655
2024-11-07,0.0751636
2024-11-06,0.0746809
2024-11-05,0.0744842
2024-11-04,0.0747924
2024-11-03,0.0748529
2024-11-02,0.0748529
2024-11-01,0.0748931
2024-10-31,0.0750847
2024-10-30,0.0751120
2024-10-29,0.0748700
2024-10-28,0.0746771
2024-10-27,0.0740803
2024-10-26,0.0740794
2024-10-25,0.0743436
2024-10-24,0.0749714
2024-10-23,0.0747871
2024-10-22,0.0747058
2024-10-21,0.0746615
2024-10-20,0.0746558
2024-10-19,0.0746553
2024-10-18,0.0746936
2024-10-17,0.0744521
2024-10-16,0.0742580
2024-10-15,0.0744753
2024-10-14,0.0746929
2024-10-13,0.0747863
2024-10-12,0.0747853
2024-10-11,0.0747975
2024-10-10,0.0747571
2024-10-09,0.0750263
2024-10-08,0.0752977
2024-10-07,0.0752293
2024-10-06,0.0744454
2024-10-05,0.0744400
2024-10-04,0.0746377
2024-10-03,0.0747421
2024-10-02,0.0740964
2024-10-01,0.0739162
2024-09-30,0.0733878
2024-09-29,0.0735398
2024-09-28,0.0735412
2024-09-27,0.0736019
2024-09-26,0.0738862
2024-09-25,0.0736791
2024-09-24,0.0742507
2024-09-23,0.0750995
2024-09-22,0.0754282
2024-09-21,0.0754262
2024-09-20,0.0754110
2024-09-19,0.0758532
2024-09-18,0.0759760
2024-09-17,0.0764801
2024-09-16,0.0769898
2024-09-15,0.0767373
2024-09-14,0.0767377
2024-09-13,0.0768301
2024-09-12,0.0771363
2024-09-11,0.0771432
2024-09-10,0.0770361
2024-09-09,0.0773131
2024-09-08,0.0766491
2024-09-07,0.0766337
2024-09-06,0.0771283
2024-09-05,0.0770932
2024-09-04,0.0769051
2024-09-03,0.0771302
2024-09-02,0.0769290
2024-09-01,0.0767320
2024-08-31,0.0767303
2024-08-30,0.0767387
2024-08-29,0.0766845
2024-08-28,0.0771068
2024-08-27,0.0772185
2024-08-26,0.0774507
2024-08-25,0.0770933
2024-08-24,0.0770843
2024-08-23,0.0774413
2024-08-22,0.0774748
2024-08-21,0.0774848
2024-08-20,0.0773039
2024-08-19,0.0770891
2024-08-18,0.0775044
2024-08-17,0.0775117
2024-08-16,0.0775188
2024-08-15,0.0775167
2024-08-14,0.0775240
2024-08-13,0.0779344
2024-08-12,0.0775299
2024-08-11,0.0770778
2024-08-10,0.0770770
2024-08-09,0.0773071
2024-08-08,0.0778068
2024-08-07,0.0777954
2024-08-06,0.0772867
2024-08-05,0.0763342
2024-08-04,0.0775481
2024-08-03,0.0775468
2024-08-02,0.0776121
2024-08-01,0.0782151
2024-07-31,0.0786387
2024-07-30,0.0788301
2024-07-29,0.0791852
2024-07-28,0.0794507
2024-07-27,0.0794466
2024-07-26,0.0795802
2024-07-25,0.0795472
2024-07-24,0.0797414
2024-07-23,0.0798903
2024-07-22,0.0801106
2024-07-21,0.0801183
2024-07-20,0.0801160
2024-07-19,0.0801612
2024-07-18,0.0799799
2024-07-17,0.0800325
2024-07-16,0.0799844
2024-07-15,0.0798448
2024-07-14,0.0800173
2024-07-13,0.0800209
2024-07-12,0.0799702
2024-07-11,0.0804001
2024-07-10,0.0805614
2024-07-09,0.0804400
2024-07-08,0.0803835
2024-07-07,0.0803588
2024-07-06,0.0803619
2024-07-05,0.0803597
2024-07-04,0.0803094
2024-07-03,0.0802768
2024-07-02,0.0801785
2024-07-01,0.0802682
2024-06-30,0.0805824
2024-06-29,0.0805797
2024-06-28,0.0805487
2024-06-27,0.0802954
2024-06-26,0.0799114
2024-06-25,0.0800137
2024-06-24,0.0800692
2024-06-23,0.0799405
2024-06-22,0.0799414
2024-06-21,0.0800114
2024-06-20,0.0799701
2024-06-19,0.0800678
2024-06-18,0.0802626
2024-06-17,0.0803288
2024-06-16,0.0801459
2024-06-15,0.0801414
2024-06-14,0.0802573
2024-06-13,0.0802410
2024-06-12,0.0804809
2024-06-11,0.0802656
2024-06-10,0.0802161
2024-06-09,0.0797165
2024-06-08,0.0797143
2024-06-07,0.0799426
2024-06-06,0.0800064
2024-06-05,0.0798797
2024-06-04,0.0798123
2024-06-03,0.0801470
2024-06-02,0.0802444
2024-06-01,0.0802456
2024-05-31,0.0802761
2024-05-30,0.0803148
2024-05-29,0.0803328
2024-05-28,0.0808225
2024-05-27,0.0807720
2024-05-26,0.0806855
2024-05-25,0.0806819
2024-05-24,0.0808531
2024-05-23,0.0807261
2024-05-22,0.0806419
2024-05-21,0.0805915
2024-05-20,0.0808077
2024-05-19,0.0808787
2024-05-18,0.0808721
2024-05-17,0.0811090
2024-05-16,0.0814777
2024-05-15,0.0817005
2024-05-14,0.0816583
2024-05-13,0.0818858
2024-05-12,0.0821282
2024-05-11,0.0821218
2024-05-10,0.0823452
2024-05-09,0.0825933
2024-05-08,0.0825854
2024-05-07,0.0827015
2024-05-06,0.0827440
2024-05-05,0.0829473
2024-05-04,0.0829496
2024-05-03,0.0827301
2024-05-02,0.0825909
2024-05-01,0.0823960
2024-04-30,0.0825844
2024-04-29,0.0826253
2024-04-28,0.0824803
2024-04-27,0.0824794
2024-04-26,0.0825301
2024-04-25,0.0825699
2024-04-24,0.0828081
2024-04-23,0.0830733
2024-04-22,0.0829897
2024-04-21,0.0828498
2024-04-20,0.0828470
2024-04-19,0.0830101
2024-04-18,0.0834473
2024-04-17,0.0836466
2024-04-16,0.0839601
2024-04-15,0.0839796
2024-04-14,0.0840678
2024-04-13,0.0840644
2024-04-12,0.0842257
2024-04-11,0.0839970
2024-04-10,0.0841270
2024-04-09,0.0841112
2024-04-08,0.0839672
2024-04-07,0.0838300
2024-04-06,0.0838273
2024-04-05,0.0838314
2024-04-04,0.0838880
2024-04-03,0.0841990
2024-04-02,0.0842861
2024-04-01,0.0839881
2024-03-31,0.0840071
2024-03-30,0.0840064
2024-03-29,0.0840185
2024-03-28,0.0840728
2024-03-27,0.0839939
2024-03-26,0.0838135
2024-03-25,0.0838643
2024-03-24,0.0837075
2024-03-23,0.0837075
2024-03-22,0.0840374
2024-03-21,0.0840276
2024-03-20,0.0843666
2024-03-19,0.0846373
2024-03-18,0.0847291
2024-03-17,0.0844073
2024-03-16,0.0844006
2024-03-15,0.0849340
2024-03-14,0.0844538
2024-03-13,0.0844637
2024-03-12,0.0843552
2024-03-11,0.0844680
2024-03-10,0.0842731
2024-03-09,0.0842740
2024-03-08,0.0842336
2024-03-07,0.0843380
2024-03-06,0.0846912
2024-03-05,0.0844278
2024-03-04,0.0842601
2024-03-03,0.0845407
2024-03-02,0.0845372
2024-03-01,0.0845121
2024-02-29,0.0845227
