Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,PKR/MYR
2024-12-31,0.0159786
2024-12-30,0.0159798
2024-12-29,0.0160112
2024-12-28,0.0160112
2024-12-27,0.0160174
2024-12-26,0.0160134
2024-12-25,0.0160604
2024-12-24,0.0160642
2024-12-23,0.0160772
2024-12-22,0.0161453
2024-12-21,0.0161457
2024-12-20,0.0161281
2024-12-19,0.0160792
2024-12-18,0.0160134
2024-12-17,0.0159930
2024-12-16,0.0159735
2024-12-15,0.0159206
2024-12-14,0.0159206
2024-12-13,0.0159174
2024-12-12,0.0158841
2024-12-11,0.0158935
2024-12-10,0.0158573
2024-12-09,0.0158431
2024-12-08,0.0158165
2024-12-07,0.0158174
2024-12-06,0.0158635
2024-12-05,0.0158946
2024-12-04,0.0159871
2024-12-03,0.0160239
2024-12-02,0.0159896
2024-12-01,0.0159644
2024-11-30,0.0159644
2024-11-29,0.0159343
2024-11-28,0.0159396
2024-11-27,0.0159339
2024-11-26,0.0160120
2024-11-25,0.0160164
2024-11-24,0.0160673
2024-11-23,0.0160673
2024-11-22,0.0160179
2024-11-21,0.0160138
2024-11-20,0.0160513
2024-11-19,0.0160716
2024-11-18,0.0160504
2024-11-17,0.0160806
2024-11-16,0.0160806
2024-11-15,0.0160642
2024-11-14,0.0160305
2024-11-13,0.0159599
2024-11-12,0.0158788
2024-11-11,0.0157539
2024-11-10,0.0157441
2024-11-09,0.0157441
2024-11-08,0.0157462
2024-11-07,0.0158193
2024-11-06,0.0157982
2024-11-05,0.0156403
2024-11-04,0.0157101
2024-11-03,0.0157543
2024-11-02,0.0157556
2024-11-01,0.0157221
2024-10-31,0.0157278
2024-10-30,0.0157400
2024-10-29,0.0156809
2024-10-28,0.0156235
2024-10-27,0.0155347
2024-10-26,0.0155347
2024-10-25,0.0155807
2024-10-24,0.0156148
2024-10-23,0.0155914
2024-10-22,0.0155148
2024-10-21,0.0154621
2024-10-20,0.0154850
2024-10-19,0.0154853
2024-10-18,0.0154459
2024-10-17,0.0154524
2024-10-16,0.0154371
2024-10-15,0.0154508
2024-10-14,0.0153973
2024-10-13,0.0154233
2024-10-12,0.0154238
2024-10-11,0.0153971
2024-10-10,0.0154065
2024-10-09,0.0153910
2024-10-08,0.0153810
2024-10-07,0.0153481
2024-10-06,0.0151854
2024-10-05,0.0151872
2024-10-04,0.0151652
