Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,SAR/MYR
2024-12-31,1.18833
2024-12-30,1.18809
2024-12-29,1.18953
2024-12-28,1.18951
2024-12-27,1.19001
2024-12-26,1.18963
2024-12-25,1.19379
2024-12-24,1.19366
2024-12-23,1.19408
2024-12-22,1.19867
2024-12-21,1.19868
2024-12-20,1.19827
2024-12-19,1.19707
2024-12-18,1.18793
2024-12-17,1.18567
2024-12-16,1.18400
2024-12-15,1.18299
2024-12-14,1.18294
2024-12-13,1.18267
2024-12-12,1.17884
2024-12-11,1.17754
2024-12-10,1.17672
2024-12-09,1.17645
2024-12-08,1.17488
2024-12-07,1.17483
2024-12-06,1.17513
2024-12-05,1.17703
2024-12-04,1.18427
2024-12-03,1.18804
2024-12-02,1.18565
2024-12-01,1.18168
2024-11-30,1.18168
2024-11-29,1.18079
2024-11-28,1.18141
2024-11-27,1.18161
2024-11-26,1.18591
2024-11-25,1.18532
2024-11-24,1.18854
2024-11-23,1.18854
2024-11-22,1.18827
2024-11-21,1.18813
2024-11-20,1.18907
2024-11-19,1.18948
2024-11-18,1.19060
2024-11-17,1.18879
2024-11-16,1.18879
2024-11-15,1.18946
2024-11-14,1.19131
2024-11-13,1.18230
2024-11-12,1.17742
2024-11-11,1.17178
2024-11-10,1.16493
2024-11-09,1.16493
2024-11-08,1.16558
2024-11-07,1.17143
2024-11-06,1.16897
2024-11-05,1.15789
2024-11-04,1.16278
2024-11-03,1.16513
2024-11-02,1.16511
2024-11-01,1.16434
2024-10-31,1.16430
2024-10-30,1.16515
2024-10-29,1.16227
2024-10-28,1.15904
2024-10-27,1.15408
2024-10-26,1.15408
2024-10-25,1.15454
2024-10-24,1.15673
2024-10-23,1.15545
2024-10-22,1.14977
2024-10-21,1.14428
2024-10-20,1.14472
2024-10-19,1.14476
2024-10-18,1.14473
2024-10-17,1.14543
2024-10-16,1.14258
2024-10-15,1.14542
2024-10-14,1.14226
2024-10-13,1.14044
2024-10-12,1.14046
2024-10-11,1.14020
2024-10-10,1.14188
2024-10-09,1.13948
2024-10-08,1.14006
2024-10-07,1.13777
2024-10-06,1.12244
2024-10-05,1.12244
2024-10-04,1.12318
2024-10-03,1.12212
2024-10-02,1.10953
2024-10-01,1.10856
2024-09-30,1.09653
2024-09-29,1.09826
2024-09-28,1.09828
2024-09-27,1.09815
2024-09-26,1.10245
2024-09-25,1.09926
2024-09-24,1.10940
2024-09-23,1.11940
2024-09-22,1.11831
2024-09-21,1.11830
2024-09-20,1.11722
2024-09-19,1.12457
2024-09-18,1.12989
2024-09-17,1.13575
2024-09-16,1.14474
2024-09-15,1.14504
2024-09-14,1.14501
2024-09-13,1.14601
2024-09-12,1.15323
2024-09-11,1.15255
2024-09-10,1.15761
2024-09-09,1.16124
2024-09-08,1.15210
2024-09-07,1.15209
2024-09-06,1.15222
2024-09-05,1.15346
2024-09-04,1.15785
2024-09-03,1.16264
2024-09-02,1.15708
2024-09-01,1.14941
2024-08-31,1.14939
2024-08-30,1.14898
2024-08-29,1.14888
2024-08-28,1.15583
2024-08-27,1.15782
2024-08-26,1.15881
2024-08-25,1.16454
2024-08-24,1.16454
2024-08-23,1.16490
2024-08-22,1.16512
2024-08-21,1.16482
2024-08-20,1.16384
2024-08-19,1.16518
2024-08-18,1.17971
2024-08-17,1.17983
2024-08-16,1.18048
2024-08-15,1.17983
2024-08-14,1.17663
2024-08-13,1.18381
2024-08-12,1.18336
2024-08-11,1.17575
2024-08-10,1.17575
2024-08-09,1.17989
2024-08-08,1.19053
2024-08-07,1.19512
2024-08-06,1.18914
2024-08-05,1.17735
2024-08-04,1.19664
2024-08-03,1.19665
2024-08-02,1.20003
2024-08-01,1.21532
2024-07-31,1.22437
2024-07-30,1.23149
2024-07-29,1.23510
2024-07-28,1.23987
2024-07-27,1.23987
2024-07-26,1.24006
2024-07-25,1.24232
2024-07-24,1.24399
2024-07-23,1.24432
2024-07-22,1.24727
2024-07-21,1.24799
2024-07-20,1.24797
2024-07-19,1.24699
2024-07-18,1.24264
2024-07-17,1.24315
2024-07-16,1.24538
2024-07-15,1.24465
2024-07-14,1.24629
2024-07-13,1.24627
2024-07-12,1.24434
2024-07-11,1.24892
2024-07-10,1.25238
2024-07-09,1.25394
2024-07-08,1.25432
2024-07-07,1.25421
2024-07-06,1.25423
2024-07-05,1.25400
2024-07-04,1.25414
2024-07-03,1.25626
2024-07-02,1.25649
2024-07-01,1.25522
2024-06-30,1.25594
2024-06-29,1.25593
2024-06-28,1.25623
2024-06-27,1.25661
2024-06-26,1.25427
2024-06-25,1.25286
2024-06-24,1.25163
2024-06-23,1.25425
2024-06-22,1.25438
2024-06-21,1.25483
2024-06-20,1.25405
2024-06-19,1.25337
2024-06-18,1.25508
2024-06-17,1.25653
2024-06-16,1.25567
2024-06-15,1.25559
2024-06-14,1.25540
2024-06-13,1.25367
2024-06-12,1.25633
2024-06-11,1.25723
2024-06-10,1.25703
2024-06-09,1.24962
2024-06-08,1.24963
2024-06-07,1.24984
2024-06-06,1.25047
2024-06-05,1.25136
2024-06-04,1.25140
2024-06-03,1.25337
2024-06-02,1.25363
2024-06-01,1.25363
2024-05-31,1.25295
2024-05-30,1.25337
2024-05-29,1.25227
2024-05-28,1.24985
2024-05-27,1.25193
2024-05-26,1.25349
2024-05-25,1.25340
2024-05-24,1.25473
2024-05-23,1.25319
2024-05-22,1.24945
2024-05-21,1.24949
2024-05-20,1.24785
2024-05-19,1.24835
2024-05-18,1.24826
2024-05-17,1.24799
2024-05-16,1.24822
2024-05-15,1.25355
2024-05-14,1.25802
2024-05-13,1.26145
2024-05-12,1.26209
2024-05-11,1.26204
2024-05-10,1.26205
2024-05-09,1.26270
2024-05-08,1.26328
2024-05-07,1.26209
2024-05-06,1.26239
2024-05-05,1.26241
2024-05-04,1.26235
2024-05-03,1.26227
2024-05-02,1.26718
2024-05-01,1.26978
2024-04-30,1.27012
2024-04-29,1.27049
2024-04-28,1.26962
2024-04-27,1.26965
2024-04-26,1.27049
2024-04-25,1.27284
2024-04-24,1.27220
2024-04-23,1.27255
2024-04-22,1.27298
2024-04-21,1.27257
2024-04-20,1.27249
2024-04-19,1.27311
2024-04-18,1.27251
2024-04-17,1.27554
2024-04-16,1.27542
2024-04-15,1.27224
2024-04-14,1.27007
2024-04-13,1.27008
2024-04-12,1.26982
2024-04-11,1.26422
2024-04-10,1.26422
2024-04-09,1.26463
2024-04-08,1.26572
2024-04-07,1.26425
2024-04-06,1.26416
2024-04-05,1.26387
2024-04-04,1.26215
2024-04-03,1.26583
2024-04-02,1.26571
2024-04-01,1.25945
2024-03-31,1.25772
2024-03-30,1.25772
2024-03-29,1.25847
2024-03-28,1.26047
2024-03-27,1.25978
2024-03-26,1.25723
2024-03-25,1.25909
2024-03-24,1.26169
2024-03-23,1.26169
2024-03-22,1.26164
2024-03-21,1.25494
2024-03-20,1.26218
2024-03-19,1.26004
2024-03-18,1.25631
2024-03-17,1.25300
2024-03-16,1.25294
2024-03-15,1.25872
2024-03-14,1.24831
2024-03-13,1.24732
2024-03-12,1.24611
2024-03-11,1.24747
2024-03-10,1.24826
2024-03-09,1.24827
2024-03-08,1.24836
2024-03-07,1.25441
2024-03-06,1.26041
2024-03-05,1.25999
2024-03-04,1.25869
2024-03-03,1.26347
2024-03-02,1.26347
2024-03-01,1.26285
2024-02-29,1.26535
2024-02-28,1.26889
2024-02-27,1.27047
2024-02-26,1.27214
2024-02-25,1.27159
2024-02-24,1.27160
2024-02-23,1.27215
2024-02-22,1.27316
2024-02-21,1.27703
2024-02-20,1.27621
2024-02-19,1.27446
2024-02-18,1.27286
2024-02-17,1.27288
2024-02-16,1.27272
2024-02-15,1.27323
2024-02-14,1.27356
2024-02-13,1.26923
2024-02-12,1.26945
2024-02-11,1.26876
2024-02-10,1.26880
2024-02-09,1.26746
2024-02-08,1.26481
2024-02-07,1.26237
2024-02-06,1.26811
2024-02-05,1.26568
2024-02-04,1.25637
2024-02-03,1.25635
2024-02-02,1.25733
2024-02-01,1.25941
2024-01-31,1.25947
2024-01-30,1.25922
2024-01-29,1.26063
2024-01-28,1.25875
2024-01-27,1.25875
2024-01-26,1.25905
2024-01-25,1.25950
2024-01-24,1.25984
2024-01-23,1.25903
2024-01-22,1.25795
2024-01-21,1.25552
2024-01-20,1.25552
2024-01-19,1.25573
2024-01-18,1.25600
2024-01-17,1.25567
2024-01-16,1.24681
2024-01-15,1.24192
2024-01-14,1.23727
2024-01-13,1.23727
2024-01-12,1.23701
2024-01-11,1.23642
2024-01-10,1.23685
2024-01-09,1.23659
2024-01-08,1.23879
2024-01-07,1.23979
2024-01-06,1.23975
2024-01-05,1.23764
2024-01-04,1.23451
2024-01-03,1.23153
2024-01-02,1.22585
2024-01-01,1.22449

Period Average,1.21763
Period Low,1.09653
Period High,1.27703
