Period Start Date,SGD/MYR
1-Apr-24,3.49813
2-Apr-24,3.51254
3-Apr-24,3.5182
4-Apr-24,3.51528
5-Apr-24,3.51686
6-Apr-24,3.51711
7-Apr-24,3.51697
8-Apr-24,3.52224
9-Apr-24,3.52607
10-Apr-24,3.51774
11-Apr-24,3.50624
12-Apr-24,3.50805
13-Apr-24,3.50134
14-Apr-24,3.50155
15-Apr-24,3.50682
16-Apr-24,3.50705
17-Apr-24,3.51419
18-Apr-24,3.51046
19-Apr-24,3.50803
20-Apr-24,3.50742
21-Apr-24,3.50765
22-Apr-24,3.50735
23-Apr-24,3.50696
24-Apr-24,3.508
25-Apr-24,3.51177
26-Apr-24,3.50278
27-Apr-24,3.49594
28-Apr-24,3.49615
29-Apr-24,3.50441
30-Apr-24,3.49789
1-May-24,3.49385
2-May-24,3.50212
3-May-24,3.5058
4-May-24,3.50973
5-May-24,3.50944
6-May-24,3.50601
7-May-24,3.50002
8-May-24,3.49655
9-May-24,3.49808
10-May-24,3.49844
11-May-24,3.4958
12-May-24,3.49577
13-May-24,3.49648
14-May-24,3.48919
15-May-24,3.48965
16-May-24,3.48326
17-May-24,3.4788
18-May-24,3.482
19-May-24,3.4819
20-May-24,3.47771
21-May-24,3.48009
22-May-24,3.47621
23-May-24,3.48205
24-May-24,3.48596
25-May-24,3.48393
26-May-24,3.48388
27-May-24,3.48161
28-May-24,3.47956
29-May-24,3.47993
30-May-24,3.48143
31-May-24,3.47999
1-Jun-24,3.48155
2-Jun-24,3.48142
3-Jun-24,3.48646
4-Jun-24,3.48705
5-Jun-24,3.48464
6-Jun-24,3.48482
7-Jun-24,3.47904
8-Jun-24,3.46777
9-Jun-24,3.46763
10-Jun-24,3.48547
11-Jun-24,3.48646
12-Jun-24,3.49393
13-Jun-24,3.48669
14-Jun-24,3.48316
15-Jun-24,3.48251
16-Jun-24,3.48246
17-Jun-24,3.48683
18-Jun-24,3.48429
19-Jun-24,3.48327
20-Jun-24,3.47949
21-Jun-24,3.4776
22-Jun-24,3.4735
23-Jun-24,3.4736
24-Jun-24,3.47908
25-Jun-24,3.47471
26-Jun-24,3.4693
27-Jun-24,3.47453
28-Jun-24,3.47605
29-Jun-24,3.47673
30-Jun-24,3.47693
1-Jul-24,3.47363
2-Jul-24,3.47443
3-Jul-24,3.47946
4-Jul-24,3.48203
5-Jul-24,3.48724
6-Jul-24,3.49046
7-Jul-24,3.49025
8-Jul-24,3.48884
9-Jul-24,3.48473
10-Jul-24,3.48275
11-Jul-24,3.4834
12-Jul-24,3.47907
13-Jul-24,3.48796
14-Jul-24,3.48721
15-Jul-24,3.47838
16-Jul-24,3.47622
17-Jul-24,3.47806
18-Jul-24,3.4758
19-Jul-24,3.48014
20-Jul-24,3.48102
21-Jul-24,3.48128
22-Jul-24,3.4793
23-Jul-24,3.47157
