Daily BID rates @ +/- 0.0%,
OANDA Exchange Rates,
https://fxds-hcc.oanda.com,
,
,
Period Start Date,SGD/MYR
12/31/24,3.27787
12/30/24,3.28692
12/29/24,3.28878
12/28/24,3.28869
12/27/24,3.28951
12/26/24,3.28714
12/25/24,3.29557
12/24/24,3.29896
12/23/24,3.30887
12/22/24,3.32119
12/21/24,3.32113
12/20/24,3.31827
12/19/24,3.30802
12/18/24,3.30013
12/17/24,3.30177
12/16/24,3.29832
12/15/24,3.29551
12/14/24,3.29541
12/13/24,3.29836
12/12/24,3.29667
12/11/24,3.29642
12/10/24,3.29922
12/9/24,3.2985
12/8/24,3.28816
12/7/24,3.28795
12/6/24,3.29575
12/5/24,3.3008
12/4/24,3.3108
12/3/24,3.31957
12/2/24,3.31278
12/1/24,3.31307
11/30/24,3.3131
11/29/24,3.31322
11/28/24,3.30776
11/27/24,3.30765
11/26/24,3.30794
11/25/24,3.30973
11/24/24,3.31756
11/23/24,3.31704
11/22/24,3.31431
11/21/24,3.32102
11/20/24,3.32976
11/19/24,3.33779
11/18/24,3.33255
11/17/24,3.32489
11/16/24,3.32475
11/15/24,3.3294
11/14/24,3.32917
11/13/24,3.31764
11/12/24,3.30947
11/11/24,3.30772
11/10/24,3.29918
11/9/24,3.29926
11/8/24,3.30888
11/7/24,3.32269
11/6/24,3.30031
11/5/24,3.30459
11/4/24,3.31503
11/3/24,3.30053
11/2/24,3.29976
11/1/24,3.3049
10/31/24,3.3106
10/30/24,3.30913
10/29/24,3.29828
10/28/24,3.29215
10/27/24,3.27875
10/26/24,3.27863
10/25/24,3.28572
10/24/24,3.2935
10/23/24,3.2873
10/22/24,3.28403
10/21/24,3.27377
10/20/24,3.28308
10/19/24,3.28325
10/18/24,3.27956
10/17/24,3.27718
10/16/24,3.27561
10/15/24,3.28676
10/14/24,3.28247
10/13/24,3.28318
10/12/24,3.28363
10/11/24,3.28205
10/10/24,3.28227
10/9/24,3.27963
10/8/24,3.28579
10/7/24,3.27914
10/6/24,3.23359
10/5/24,3.23364
10/4/24,3.2453
10/3/24,3.25186
10/2/24,3.23101
10/1/24,3.23327
9/30/24,3.20997
9/29/24,3.21747
9/28/24,3.21749
9/27/24,3.21473
9/26/24,3.22003
9/25/24,3.20934
9/24/24,3.23519
9/23/24,3.25504
9/22/24,3.25418
9/21/24,3.25427
9/20/24,3.24959
9/19/24,3.26517
9/18/24,3.27896
9/17/24,3.29367
9/16/24,3.31707
9/15/24,3.31287
9/14/24,3.31294
9/13/24,3.3142
9/12/24,3.32166
9/11/24,3.32118
9/10/24,3.33009
9/9/24,3.34181
9/8/24,3.32284
9/7/24,3.32295
9/6/24,3.32899
9/5/24,3.32943
9/4/24,3.33099
9/3/24,3.33771
9/2/24,3.32475
9/1/24,3.30422
8/31/24,3.30402
8/30/24,3.30929
8/29/24,3.3133
8/28/24,3.33003
8/27/24,3.33615
8/26/24,3.33978
8/25/24,3.35964
8/24/24,3.35982
8/23/24,3.35041
8/22/24,3.34383
8/21/24,3.34882
8/20/24,3.3432
8/19/24,3.33933
8/18/24,3.36591
8/17/24,3.36631
8/16/24,3.36218
8/15/24,3.3578
8/14/24,3.35769
8/13/24,3.36647
8/12/24,3.3559
8/11/24,3.33358
8/10/24,3.3335
8/9/24,3.3477
8/8/24,3.37302
8/7/24,3.38246
8/6/24,3.37038
8/5/24,3.34247
8/4/24,3.38745
8/3/24,3.3876
8/2/24,3.38776
8/1/24,3.41369
7/31/24,3.43338
7/30/24,3.44115
7/29/24,3.45187
7/28/24,3.4658
7/27/24,3.46595
7/26/24,3.46668
7/25/24,3.47205
7/24/24,3.4745
7/23/24,3.47157
7/22/24,3.4793
7/21/24,3.48128
7/20/24,3.48102
7/19/24,3.48014
7/18/24,3.4758
7/17/24,3.47806
7/16/24,3.47622
7/15/24,3.47838
7/14/24,3.48721
7/13/24,3.48796
7/12/24,3.47907
7/11/24,3.4834
7/10/24,3.48275
7/9/24,3.48473
7/8/24,3.48884
7/7/24,3.49025
7/6/24,3.49046
7/5/24,3.48724
7/4/24,3.48203
7/3/24,3.47946
7/2/24,3.47443
7/1/24,3.47363
6/30/24,3.47693
6/29/24,3.47673
6/28/24,3.47605
6/27/24,3.47453
6/26/24,3.4693
6/25/24,3.47471
6/24/24,3.47908
6/23/24,3.4736
6/22/24,3.4735
6/21/24,3.4776
6/20/24,3.47949
6/19/24,3.48327
6/18/24,3.48429
6/17/24,3.48683
6/16/24,3.48246
6/15/24,3.48251
6/14/24,3.48316
6/13/24,3.48669
6/12/24,3.49393
6/11/24,3.48646
6/10/24,3.48547
6/9/24,3.46763
6/8/24,3.46777
6/7/24,3.47904
6/6/24,3.48482
6/5/24,3.48464
6/4/24,3.48705
6/3/24,3.48646
6/2/24,3.48142
6/1/24,3.48155
5/31/24,3.47999
5/30/24,3.48143
5/29/24,3.47993
5/28/24,3.47956
5/27/24,3.48161
5/26/24,3.48388
5/25/24,3.48393
5/24/24,3.48596
5/23/24,3.48205
5/22/24,3.47621
5/21/24,3.48009
5/20/24,3.47771
5/19/24,3.4819
5/18/24,3.482
5/17/24,3.4788
5/16/24,3.48326
5/15/24,3.48965
5/14/24,3.48919
5/13/24,3.49648
5/12/24,3.49577
5/11/24,3.4958
5/10/24,3.49844
5/9/24,3.49808
5/8/24,3.49655
5/7/24,3.50002
5/6/24,3.50601
5/5/24,3.50944
5/4/24,3.50973
5/3/24,3.5058
5/2/24,3.50212
5/1/24,3.49385
4/30/24,3.49789
4/29/24,3.50441
4/28/24,3.49615
4/27/24,3.49594
4/26/24,3.50278
4/25/24,3.51177
4/24/24,3.508
4/23/24,3.50696
4/22/24,3.50735
4/21/24,3.50765
4/20/24,3.50742
4/19/24,3.50803
4/18/24,3.51046
4/17/24,3.51419
4/16/24,3.50705
4/15/24,3.50682
4/14/24,3.50155
4/13/24,3.50134
4/12/24,3.50805
4/11/24,3.50624
4/10/24,3.51774
4/9/24,3.52607
4/8/24,3.52224
4/7/24,3.51697
4/6/24,3.51711
4/5/24,3.51686
4/4/24,3.51528
4/3/24,3.5182
4/2/24,3.51254
4/1/24,3.49813
3/31/24,3.49481
,
Period Average,3.38695
Period Low,3.20934
Period High,3.52607
