Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,TWD/MYR
2024-12-31,0.136255
2024-12-30,0.136140
2024-12-29,0.136121
2024-12-28,0.136122
2024-12-27,0.136260
2024-12-26,0.136343
2024-12-25,0.137060
2024-12-24,0.137118
2024-12-23,0.137243
2024-12-22,0.138089
2024-12-21,0.138096
2024-12-20,0.137936
2024-12-19,0.137809
2024-12-18,0.137180
2024-12-17,0.137114
2024-12-16,0.136956
2024-12-15,0.136746
2024-12-14,0.136747
2024-12-13,0.136792
2024-12-12,0.136308
2024-12-11,0.136183
2024-12-10,0.136088
2024-12-09,0.136284
2024-12-08,0.136174
2024-12-07,0.136174
2024-12-06,0.136325
2024-12-05,0.136549
2024-12-04,0.137239
2024-12-03,0.137012
2024-12-02,0.136664
2024-12-01,0.136804
2024-11-30,0.136810
2024-11-29,0.136573
2024-11-28,0.136411
2024-11-27,0.136664
2024-11-26,0.137245
2024-11-25,0.137163
2024-11-24,0.137015
2024-11-23,0.137015
2024-11-22,0.137058
2024-11-21,0.137038
2024-11-20,0.137392
2024-11-19,0.137819
2024-11-18,0.137492
2024-11-17,0.137396
2024-11-16,0.137390
2024-11-15,0.137462
2024-11-14,0.137423
2024-11-13,0.136908
2024-11-12,0.136386
2024-11-11,0.136081
2024-11-10,0.135722
2024-11-09,0.135722
2024-11-08,0.136194
2024-11-07,0.136682
2024-11-06,0.136275
2024-11-05,0.136264
2024-11-04,0.137022
2024-11-03,0.136937
2024-11-02,0.136937
2024-11-01,0.137018
2024-10-31,0.136967
2024-10-30,0.136855
2024-10-29,0.136068
2024-10-28,0.135678
2024-10-27,0.135148
2024-10-26,0.135151
2024-10-25,0.135251
2024-10-24,0.135498
2024-10-23,0.135318
2024-10-22,0.134784
2024-10-21,0.134182
2024-10-20,0.134152
2024-10-19,0.134155
2024-10-18,0.134097
2024-10-17,0.133881
2024-10-16,0.133371
2024-10-15,0.133637
2024-10-14,0.133266
2024-10-13,0.133245
2024-10-12,0.133247
2024-10-11,0.133070
2024-10-10,0.132975
2024-10-09,0.132790
2024-10-08,0.132959
2024-10-07,0.132788
2024-10-06,0.130575
2024-10-05,0.130569
2024-10-04,0.131152
2024-10-03,0.131522
2024-10-02,0.130640
2024-10-01,0.130573
2024-09-30,0.129826
2024-09-29,0.130436
2024-09-28,0.130436
2024-09-27,0.130442
2024-09-26,0.130094
2024-09-25,0.129293
2024-09-24,0.130377
2024-09-23,0.131112
2024-09-22,0.131276
2024-09-21,0.131276
2024-09-20,0.131200
2024-09-19,0.132135
